adid,app_version_short,network_name,campaign_name,activity_kind,event_name,created_at_convert,created_at_convert_date,partner_parameters,publisher_parameters,label,first_tracker,tracker_name,adgroup_name,creative_name,reftag,device_manufacturer,city,country,country_subdivision,device_model,device_name,device_type,environment,os_name,os_version,installed_at_convert,installed_at_convert_date,idfa,idfv,gps_adid
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,install,,2025-11-20 14:13:31,2025-11-20,,,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,att_update,,2025-11-20 14:13:33,2025-11-20,,,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,ekyc_start,2025-11-20 14:14:02,2025-11-20,,,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,ekyc_start,2025-11-20 14:14:20,2025-11-20,,,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,open_account_start,2025-11-20 14:15:43,2025-11-20,,,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,first_login,2025-11-20 14:16:30,2025-11-20,"{""userid:"":""19008891""}",,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,ekyc_success,2025-11-20 14:16:30,2025-11-20,"{""userid:"":""19008891""}",,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,open_account_complete,2025-11-20 14:16:30,2025-11-20,"{""userid:"":""19008891""}",,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,open_app,2025-11-20 14:16:36,2025-11-20,,,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
08daf2190781e08596cf8b39ead427fc,2.7.2,SPS,Mở TKTT 1408,event,invite_friend_introduction,2025-11-20 14:16:58,2025-11-20,"{""userid:"":""19008891""}",,944332502,1r9xdv40,SPS::Mở TKTT 1408,,,cUt9aizekAY8S,Apple,Ho Chi Minh City,vn,Ho Chi Minh,"iPhone14,3",iPhone13ProMax,phone,sandbox,ios,26.1,2025-11-20 14:13:31,2025-11-20,4B85FE8B-6AE9-4A4A-82FB-252AB5E017CA,60827FB0-EE9C-4582-A50A-CEE0BC848937,
